filter_level_1,filter_level_2,filter_level_3,variable_name,unit,value,scenario,year,geo
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Fossil","%","1.09528","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Fossil","%","2.02403","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of space heating units","Stock of space heating units - Fossil","%","0.30796","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Heat Pump","%","60.69083","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Heat Pump","%","0.39482","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Heat Pump","%","44.56331","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Heat Pump","%","60.69083","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Heat Pump","%","60.69083","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Heat Pump","%","44.56331","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Resistance","%","3.83213","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Resistance","%","37.14617","E+RE+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Resistance","%","26.74466","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Resistance","%","26.74466","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Resistance","%","37.14617","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Electric Resistance","%","37.14617","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Gas Furnace","%","26.93435","E-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Gas Furnace","%","0.54374","E+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Gas Furnace","%","93.53282","REF","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Gas Furnace","%","26.93435","E-B+","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Gas Furnace","%","0.54374","E+RE-","2050","national"
"PILLAR 1: Efficiency/Electrification","Commercial","Stock of water heating units","Stock of water heating units - Gas Furnace","%","0.54374","E+RE+","2050","national"
